% X-coord, Y-coord, Polarization, wavelength, type, deviceID, params 
-4769, 2063, TE, 1550, device, ring, r32.7, w0.5, g0.18, b50
-4769, 1893, TE, 1550, device, ring, r26.9, w0.5, g0.179, b50
-4599, 1723, TE, 1550, device, ring, r38.0, w0.5, g0.132, b50
-4599, 1893, TE, 1550, device, ring, r20.7, w0.5, g0.142, b50
-5449, 2063, TE, 1550, device, ring, r15.2, w0.5, g0.131, b50
-4939, 1723, TE, 1550, device, ring, r27.1, w0.5, g0.173, b50
-5279, 2403, TE, 1550, device, ring, r35.7, w0.5, g0.118, b50
-4939, 1893, TE, 1550, device, ring, r48.7, w0.5, g0.146, b50
-4599, 2233, TE, 1550, device, ring, r6.1, w0.5, g0.106, b50
-5449, 2403, TE, 1550, device, ring, r26.1, w0.5, g0.126, b50
-4769, 2233, TE, 1550, device, ring, r16.0, w0.5, g0.128, b50
-5109, 2063, TE, 1550, device, ring, r39.8, w0.5, g0.173, b50
-5109, 2403, TE, 1550, device, ring, r33.1, w0.5, g0.169, b50
-5279, 1893, TE, 1550, device, ring, r5.1, w0.5, g0.179, b50
-5109, 1893, TE, 1550, device, ring, r49.0, w0.5, g0.114, b50
-4939, 2063, TE, 1550, device, ring, r38.0, w0.5, g0.157, b50
-5449, 2573, TE, 1550, device, ring, r39.1, w0.5, g0.174, b50
-5449, 2233, TE, 1550, device, ring, r42.1, w0.5, g0.105, b50
-4769, 1723, TE, 1550, device, ring, r48.4, w0.5, g0.109, b50
-5279, 1383, TE, 1550, device, ring, r39.6, w0.5, g0.14, b50
-4599, 1553, TE, 1550, device, ring, r15.6, w0.5, g0.104, b50
-5109, 1553, TE, 1550, device, ring, r9.5, w0.5, g0.1, b50
-4939, 873, TE, 1550, device, ring, r19.8, w0.5, g0.106, b50
-5109, 873, TE, 1550, device, ring, r23.7, w0.5, g0.112, b50
-4769, 1043, TE, 1550, device, ring, r19.4, w0.5, g0.178, b50
-4939, 1553, TE, 1550, device, ring, r29.4, w0.5, g0.169, b50
-5279, 1213, TE, 1550, device, ring, r38.4, w0.5, g0.126, b50
-5449, 1553, TE, 1550, device, ring, r43.6, w0.5, g0.149, b50
-4769, 1383, TE, 1550, device, ring, r42.0, w0.5, g0.135, b50
-4599, 1043, TE, 1550, device, ring, r24.4, w0.5, g0.157, b50
-4769, 1553, TE, 1550, device, ring, r41.6, w0.5, g0.178, b50
-4939, 1043, TE, 1550, device, ring, r40.8, w0.5, g0.112, b50
-4599, 703, TE, 1550, device, ring, r15.4, w0.5, g0.156, b50
-4769, 1213, TE, 1550, device, ring, r38.9, w0.5, g0.162, b50
-5109, 1383, TE, 1550, device, ring, r23.3, w0.5, g0.13, b50
-5109, 1213, TE, 1550, device, ring, r14.1, w0.5, g0.156, b50
-5109, 703, TE, 1550, device, ring, r48.2, w0.5, g0.169, b50
-5279, 1043, TE, 1550, device, ring, r48.7, w0.5, g0.159, b50
-4599, 1383, TE, 1550, device, ring, r27.9, w0.5, g0.118, b50
